,urls,标题,标签,简介,封面图片,标题分数,标签分数,封面图片分数
28,BV1N642137mf,克苏鲁神话是文化入侵吗?浅谈克苏鲁中国化【高原守】,克苏鲁 人文 跑团 恐怖 游戏杂谈 高原守 克苏鲁怪物图鉴 克苏鲁神话TRPG 游戏鉴赏家 2023年度知识盘点 2023金知奖 ,回青岛录的音，手头没有平时用的电脑和设备，可能声音听上去怪了点 （mua的谁说小地方消费低的，回老家发现外卖一点也不比我上海便宜啊！）  高原守的学术交流中心（粉丝群一群][已满]）：629357424 高原守的学术活动中心（粉丝二群[已满]）：1074551509 高原守的大图书馆（粉丝三群）：934563854，重新复活，绝赞招募中 高原守的神秘学实验室（粉丝四群]重生）：176132127 高原守的小图书馆（粉丝五群）【new！】686681370 绝赞招募中 欢迎关注与投喂，还有三连！！！,http://i1.hdslb.com/bfs/archive/6a467aa630d7ed283e3e8a0e00c09bec18957ac1.jpg,0.14012086798868084,0.050656087645095244,-1.125
22,BV11T421y7dt,连科学家都无法解释的诅咒物品 千万别碰,恐怖 科学 高能 奇葩 生活记录 诡异 悬疑 名场面 ,-,http://i2.hdslb.com/bfs/archive/9e23c95d0a61798c0c9027e7b28584914aeb3c17.jpg,0.0,0.12735952979479354,-1.6875
14,BV1uN4y167oB,【剧本杀怪谈】《瘆》这个剧本杀为啥是高能事件最高的本,怪谈 推理 剧本 ,-,http://i2.hdslb.com/bfs/archive/05126d5b7f39babb14517e046476121716b885fb.jpg,0.0,0.10371551133313006,-0.625
21,BV15D421J7eL,中国“类邪教”地图 魁魅魍魉诡计穷，神州利剑除邪妖【时代秘辛6】,伪科学 科普 科学 人文历史档案馆 反邪教 伪气功 ,据统计，国家有关部门先后认定了25个邪教组织14个有害气功组织，其中除了银河联邦以外，无一例外都诞生于8-90年代，那个年代为什么会妖魔横行呢？今天老张带你解读一下中国类邪教地图。感谢环球秘闻档案馆让我抄袭了他的封面。,http://i1.hdslb.com/bfs/archive/6c1cf73bc4f3ead3d6074cf474a0e462bb5ee0d2.jpg,0.0,0.06997254341808112,-1.1875
0,BV1rp42197Pa,【4月】怪兽8号 02,日本 日语 奇幻 濑户麻沙美 武内骏辅 菲鲁兹·蓝 ファイルーズあい Fairouz Ai 加藤涉 福西勝也 怪兽8号 新祐树 亚白米娜 保科宗四郎 四之宫奇可露 市川莱诺 瀬戸麻沙美 河本启佑 漫画改 战斗 热血 武内駿輔 河西健吾 新祐樹 福西胜也 法伊鲁兹·爱 Keisuke Koumoto 怪獣8号 Fukunishi Masaya Shin Yuuki Asami Seto Shunsuke Takeuchi Katoh Wataru Kawanishi Kengo かわにし けんご 古桥伊春 たけうち しゅんすけ かとう わたる Shin Yuki しん ゆうき Seto Asami 出云春一 日比野卡夫卡、怪兽8号 神乐木葵 ,#02,http://i2.hdslb.com/bfs/archive/87f3a0a192b38692f312766ebd996dfaa45ced0a.jpg,0.0,0.0,-0.625
1,BV1Nw4m1U7Su,【1月】我独自升级 10【独家正版】,平川大辅 冒险 日本 日语 奇幻 俺だけレベルアップな件 三川华月 中村源太 水篠旬 水篠葵 向坂雫 漫画改 古川慎 东地宏树 银河万丈 战斗 平川大輔 上田丽奈 上田麗奈 東地宏樹 坂泰斗 銀河万丈 我独自升级 Ban Taito Hiroki Touchi Reina Ueda Makoto Furukawa Nakamura Genta Hirakawa Daisuke Banjo Ginga 田中崇 Takashi Tanaka Takashi Tanaka (本名) ふるかわ まこと ひらかわ だいすけ なかむらげんた ばん たいと Mikawa Haruna Ginga Banjou 诸菱贤太 犬饲晃 最上真 后藤清臣 白川大虎 ,#10,http://i2.hdslb.com/bfs/archive/b1da09b882fde34ebdeaed4f42f28be5e19a7511.jpg,0.0,0.0,-0.75
2,BV1zz4y1c7oB,【海仙公】细思极恐的真实故事,睡前故事 悬疑 细思极恐 脑洞 诡异 高能 大口大口吃米饭 模拟恐怖 禁毒 年终动画创作挑战 ,嗨呀嗨呀！这是和之前的张先生买卖记一样风格的故事！还是因为做不出皮影戏的感觉所以只能画ppt了qwqqqq 之前有小伙伴建议说可以用这种画风来制作一些与现实生活有关的恐怖故事，这的确是个好想法，但我的主要风格和视频还是会像往常的馒头人画风一样啦！所以如果你喜欢这期视频并且是第一次看到我的话，请不要就单纯因为这期视频而关注我啦！ 嗨呀嗨呀wwww,http://i1.hdslb.com/bfs/archive/b68c4e3e98af1eff7753985906063bbd8c7117c8.jpg,0.0,0.05325383733705391,-0.8125
3,BV15J4m1W7S5,当女主衣服过于“清凉”时，玩家会有多喜欢？！！,实况解说 搞笑 游戏 独立游戏 单机游戏 游戏鉴赏家 推荐宝藏游戏 ,相关游戏：江湖路 缘起 很久没看到这种，一眼看腿，就能确认要玩的游戏了！！！,http://i0.hdslb.com/bfs/archive/149284ee2592a217621b5911acba3682cc179983.jpg,0.0,0.0,-0.3125
16,BV1ve411Z7c5,有点让人不安Snaiad的解释了_奇怪生物学（机翻）,科学 生物学 科普 自然 生命 生物 解释 奇怪 万物研究所 万物研究所·第11期 ,https://m.youtube.com/watch?v=7PvnzL6_X1Q&pp=ygVHVGhlIFNvbWV3aGF0IGxhaW5lZCB8IFNwZWN1bGF0aXZlIEJpb2xvZ3k%3D,http://i0.hdslb.com/bfs/archive/50fc68b4ccdcdd6d2c1c769f776a196fbffd705c.jpg,0.0,0.0,-0.375
0,BV1rp42197Pa,【4月】怪兽8号 02,日本 日语 奇幻 濑户麻沙美 武内骏辅 菲鲁兹·蓝 ファイルーズあい Fairouz Ai 加藤涉 福西勝也 怪兽8号 新祐树 亚白米娜 保科宗四郎 四之宫奇可露 市川莱诺 瀬戸麻沙美 河本启佑 漫画改 战斗 热血 武内駿輔 河西健吾 新祐樹 福西胜也 法伊鲁兹·爱 Keisuke Koumoto 怪獣8号 Fukunishi Masaya Shin Yuuki Asami Seto Shunsuke Takeuchi Katoh Wataru Kawanishi Kengo かわにし けんご 古桥伊春 たけうち しゅんすけ かとう わたる Shin Yuki しん ゆうき Seto Asami 出云春一 日比野卡夫卡、怪兽8号 神乐木葵 ,#02,http://i2.hdslb.com/bfs/archive/87f3a0a192b38692f312766ebd996dfaa45ced0a.jpg,0.0,0.0,-0.625
0,BV1Us411a7iK,【有声读物】中国克苏鲁小说《巴虺的牧群》（完结）,克苏鲁 克苏鲁中国同人 ,这一次的有声小说是国人编写的克苏鲁同人小说，在设定上借鉴了克苏鲁的设定和世界观，但是本质上和正统的克苏鲁还是所有区别。因为个人感觉比较优秀所以就先朗读这一篇文章，而且克苏鲁的原文不适合中国读者。,http://i2.hdslb.com/bfs/archive/a6e4d30defde3125bcaf1fff6ce144904143d3af.png,0.27519581217502304,0.0,-1.25
16,BV18G411C7is,受不了了 这是我读过最离谱的克苏鲁小说了【克苏鲁人物志】（终）,跑团 游戏杂谈 恐怖 克苏鲁 高原守 克苏鲁怪物图鉴 提图斯克劳 克苏鲁神话TRPG 游戏鉴赏家 知识研究所 ,记得三连！三连！三连！三连！三连！三连！三连！三连！三连！三连！！记得三连！三连！三连！三连！三连！三连！三连！三连！三连！三连！！记得三连！三连！三连！三连！三连！三连！三连！三连！三连！三连！！记得三连！三连！三连！三连！三连！三连！三连！三连！三连！三连！！记得三连！三连！三连！三连！三连！三连！三连！三连！三连！三连！！记得三连！三连！三连！三连！三连！三连！三连！三连！三连！三连！！记得三连！三连！三连！三连！三连！三连！三连！三连！三连！三连！！记得三连！三连！三连！三连！三连！三连！ 高原守的学术交流中心（粉丝群一群][已满]）：629357424 高原守的学术活动中心（粉丝二群[已满]）：1074551509 高原守的大图书馆（粉丝三群）：934563854，重新复活，绝赞招募中 高原守的神秘学实验室（粉丝四群][已满]）：285734812 欢迎关注与投喂，还有三连！！！,http://i2.hdslb.com/bfs/archive/c22ced4e0d2e9f52bbbfbdd1b70f238192c84956.jpg,0.24235771956792362,0.05325383733705391,-1.625
3,BV1Bx411X7gT,【克苏鲁有声书】巴虺的牧群（全集）,有声书 克苏鲁 同人 Oobmab Trow 恐怖小说 其它 有声小说 恐怖故事 ,更新时间：2017.12.30 - 2018.10.03 《黑太岁》的作者， T站大神Oobmab的另外一部作品，是一部非常优秀的中国克苏鲁作品。,http://i1.hdslb.com/bfs/archive/4b2b2fa347f1e43d2e837d721f536ba3087c7d40.jpg,0.23790309463326234,0.0,-1.1875
1,BV1S84y1g7FA,【影河】活人祭祀！供奉邪神导致灭族，SAN值狂掉的克苏鲁小说《巴虺的牧群》,克苏鲁 悬疑 神话 国产 恐怖 猎奇 惊悚 小说解说 克系 影视整活大赏 影视的一万种打开方式 ,竹子老爷本土克苏鲁小说《巴虺的牧群》 同作者的克苏鲁小说《黑太岁》已更，欢迎点击链接或移步主页合集观看：BV1U24y177H9 我们下期再会~  《巴虺的牧群》原著小说传送门：https://trow.cc/board/showtopic=26114 （强推原文！！我个人最喜欢这篇，作者真的太会写了,http://i1.hdslb.com/bfs/archive/66c619b3d0fc24ebaf6f904313b186bb34d99948.jpg,0.1993332630528026,0.16865689277472462,-1.375
8,BV1YE411g7G8,【空白】克苏鲁睡前故事-巴虺的牧群（中）,有声书 睡前故事 克苏鲁 空白 诡异 悬疑 冒险 惊悚 恐怖 全能打卡挑战 ,上集：av84495541  《巴虺的牧群》 作者：oobmab   喜欢的话请【点赞】【投币】【收藏】 谢谢~     微博：-空了个白-  抖音：空了个白,http://i2.hdslb.com/bfs/archive/e1f3c3037e8c5a86dded21efc13079fc60881075.jpg,0.20613696606828605,0.11234277891542778,-1.375
2,BV1RM4m1S7sy,《道诡异仙》巴虺原型，中国民俗与克苏鲁文化结合得最好的文学作品——《巴虺的牧群》,恐怖 惊悚 悬疑 克苏鲁 巴虺的牧群 中式克苏鲁 道诡异仙 巴虺 巴虺的牧场 人人都能聊影视 我的压箱底恐怖故事 ,原作地址，强烈推荐大家阅读原文，大神写得可太好了 https://trow.cc/board/showtopic=26114&st=0,http://i1.hdslb.com/bfs/archive/b8d3aece26de097be8283b2077e77ccf26663a93.jpg,0.14587439082056455,0.10658510262542638,-1.0625
0,BV1Us411a7iK,【有声读物】中国克苏鲁小说《巴虺的牧群》（完结）,克苏鲁 克苏鲁中国同人 ,这一次的有声小说是国人编写的克苏鲁同人小说，在设定上借鉴了克苏鲁的设定和世界观，但是本质上和正统的克苏鲁还是所有区别。因为个人感觉比较优秀所以就先朗读这一篇文章，而且克苏鲁的原文不适合中国读者。,http://i2.hdslb.com/bfs/archive/a6e4d30defde3125bcaf1fff6ce144904143d3af.png,0.27519581217502304,0.0,-1.25
1,BV1S84y1g7FA,【影河】活人祭祀！供奉邪神导致灭族，SAN值狂掉的克苏鲁小说《巴虺的牧群》,克苏鲁 悬疑 神话 国产 恐怖 猎奇 惊悚 小说解说 克系 影视整活大赏 影视的一万种打开方式 ,竹子老爷本土克苏鲁小说《巴虺的牧群》 同作者的克苏鲁小说《黑太岁》已更，欢迎点击链接或移步主页合集观看：BV1U24y177H9 我们下期再会~  《巴虺的牧群》原著小说传送门：https://trow.cc/board/showtopic=26114 （强推原文！！我个人最喜欢这篇，作者真的太会写了,http://i1.hdslb.com/bfs/archive/66c619b3d0fc24ebaf6f904313b186bb34d99948.jpg,0.1993332630528026,0.16865689277472462,-1.375
2,BV1RM4m1S7sy,《道诡异仙》巴虺原型，中国民俗与克苏鲁文化结合得最好的文学作品——《巴虺的牧群》,恐怖 惊悚 悬疑 克苏鲁 巴虺的牧群 中式克苏鲁 道诡异仙 巴虺 巴虺的牧场 人人都能聊影视 我的压箱底恐怖故事 ,原作地址，强烈推荐大家阅读原文，大神写得可太好了 https://trow.cc/board/showtopic=26114&st=0,http://i1.hdslb.com/bfs/archive/b8d3aece26de097be8283b2077e77ccf26663a93.jpg,0.14587439082056455,0.10658510262542638,-1.0625
11,BV1G14y1Q78X,克苏鲁神话+中国文化，这些网文小说让你大开眼界！,克苏鲁 恐怖 民俗 道诡异仙 克系修仙 小说推荐 网络小说 姑获鸟 诡秘之主 克苏鲁神话故事 ,《道诡异仙》已完结 《道祖是克苏鲁》已完结 《仙笼》更新稳定，日更4000+ 《俗主》更新随缘 《从姑获鸟开始》周更,http://i1.hdslb.com/bfs/archive/554a5612f15ac45d5e45ce02b9ad9bb39b79e2d6.jpg,0.15592892548708362,0.05325383733705391,-0.4375
17,BV1bT411C7CX,中国克苏鲁！太平天国，黄巾军，文成公主入藏，秦始皇泰山封禅与“无以名状者”哈斯塔,哈斯塔 克苏鲁神话 秦始皇 克苏鲁 太平道 太平天国 设定 文成公主 黄衣之王 中国克苏鲁 ,画都是ai作画，对中国克苏鲁感兴趣的欢迎加入秘史院～,http://i1.hdslb.com/bfs/archive/7e91cf7f028a04bd5628d9c5cad873e0ea47eacd.jpg,0.05850970413367294,0.0,-0.75
9,BV1G84y1n7aM,中国本土克苏鲁力作《巴虺的牧群》全集-4,有声书 克苏鲁 传说 国产克苏鲁 民间传说 中国克苏鲁 ,作者：oobmab 原文地址：https://trow.cc/board/index.php?showtopic=26114 播讲、制作：小黑屋的貘,http://i0.hdslb.com/bfs/archive/5a7643e2f9c104f659ae884a9a66a2d42291209c.jpg,0.18443191662261307,0.0,-0.8125
